City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,ballina,-28.8667,153.5667,8.77,83,1,2.96,AU,1690484835
173,tobruk,32.0836,23.9764,26.88,80,0,7.71,LY,1690484836
174,dawson creek,55.7666,-120.2362,14.14,84,100,2.93,CA,1690484836
175,general conesa,-40.1,-64.4333,4.12,90,100,2.99,AR,1690484836
176,klyuchi,52.2667,79.1667,19.62,61,100,3.29,RU,1690484836
177,villa del totoral,-30.8167,-63.7167,18.77,28,5,5.57,AR,1690484837
178,tindouf,27.6711,-8.1474,33.98,15,0,8.85,DZ,1690484837
179,al mijlad,11.0333,27.7333,27.26,66,78,3.58,SD,1690484837
180,ketchikan,55.3422,-131.6461,19.26,68,0,5.66,US,1690484837
181,lijiang,26.8688,100.2207,16.31,93,100,1.09,CN,1690484838
182,ploudalmezeau,48.5333,-4.65,18.29,94,100,3.6,FR,1690484838
183,nantucket,41.2835,-70.0995,28.38,87,85,11.69,US,1690484684
184,ulaangom,49.9811,92.0667,18.57,53,93,2.02,MN,1690484838
185,bel ombre,-4.6167,55.4167,25.91,83,75,7.72,SC,1690484838
186,santana,-0.0583,-51.1817,32.1,66,75,3.09,BR,1690484628
187,nuku'alofa,-21.1333,-175.2,20.19,64,40,3.09,TO,1690484839
188,hibbing,47.4272,-92.9377,30.29,48,75,2.57,US,1690484839
189,guarapari,-20.6667,-40.4975,24.38,76,1,7.12,BR,1690484839
190,hawaiian paradise park,19.5933,-154.9731,27.8,82,100,1.54,US,1690484839
191,luderitz,-26.6481,15.1594,13.23,77,0,1.42,NA,1690484839
192,fauske,67.2588,15.3918,17.19,80,49,2.09,NO,1690484839
193,zahedan,29.4963,60.8629,32.95,19,0,3.09,IR,1690484791
194,sitka,57.0531,-135.33,15.94,77,40,0.0,US,1690484840
195,morshansk,53.4435,41.8107,22.3,71,1,3.39,RU,1690484840
196,parshadepur,26.0833,81.5167,31.59,62,100,3.17,IN,1690484840
197,ban karon,7.8477,98.2985,29.88,72,100,7.33,TH,1690484840
198,la passe,45.5549,-0.8967,25.13,82,2,4.41,FR,1690484840
199,mangrol,21.1167,70.1167,27.15,85,100,8.59,IN,1690484841
200,ust-nera,64.5667,143.2,8.55,79,72,2.17,RU,1690484841
201,nayoro,44.3506,142.4578,20.28,98,36,2.06,JP,1690484841
202,kerikeri,-35.2268,173.9474,9.39,90,10,4.27,NZ,1690484841
203,flin flon,54.7682,-101.865,12.91,88,100,4.63,CA,1690484841
